"時点","総人口（総数）【人】","注記","日本人人口（総数）【人】","注記"
"2012年2月","127678000","","126145000",""
"2012年3月","127629000","","126103000",""
"2012年4月","127625000","","126094000",""
"2012年5月","127584000","","126049000",""
"2012年6月","127611000","","126038000",""
"2012年7月","127629000","","126061000",""
"2012年8月","127625000","","126089000",""
"2012年9月","127561000","","126030000",""
"2012年10月","127593000","","126023000",""
"2012年11月","127593000","","126001000",""
"2012年12月","127575000","","125979000",""
"2013年1月","127529000","","126032000",""
"2013年2月","127501000","","125930000",""
"2013年3月","127429000","","125892000",""
"2013年4月","127450000","","125887000",""
"2013年5月","127409000","","125838000",""
"2013年6月","127428000","","125825000",""
"2013年7月","127445000","","125847000",""
"2013年8月","127445000","","125877000",""
"2013年9月","127375000","","125811000",""
"2013年10月","127414000","","125803000",""
"2013年11月","127413000","","125784000",""
"2013年12月","127399000","","125761000",""
"2014年1月","127357000","","125821000",""
"2014年2月","127315000","","125735000",""
"2014年3月","127267000","","125675000",""
"2014年4月","127270000","","125658000",""
"2014年5月","127235000","","125612000",""
"2014年6月","127254000","","125600000",""
"2014年7月","127276000","","125621000",""
"2014年8月","127270000","","125652000",""
"2014年9月","127197000","","125573000",""
"2014年10月","127237000","","125562000",""
"2014年11月","127240000","","125543000",""
"2014年12月","127225000","","125517000",""
"2015年1月","127177000","","125577000",""
"2015年2月","127158000","","125460000",""
"2015年3月","127066000","","125428000",""
"2015年4月","127112000","","125420000",""
"2015年5月","127080000","","125371000",""
"2015年6月","127109000","","125360000",""
"2015年7月","127141000","","125389000",""
"2015年8月","127128000","","125416000",""
"2015年9月","127065000","","125336000",""
"2015年10月","127094745","総務省統計局「国勢調査」による。","124283901","総務省統計局「国勢調査」による。"
"2015年11月","127104000","","125295000",""
"2015年12月","127106000","","125275000",""
"2016年1月","127053000","","125340000",""
"2016年2月","127050000","","125235000",""
"2016年3月","126992000","","125193000",""
"2016年4月","127029000","","125189000",""
"2016年5月","126988000","","125140000",""
"2016年6月","127042000","","125125000",""
"2016年7月","127076000","","125155000",""
"2016年8月","127067000","","125177000",""
"2016年9月","127002000","","125091000",""
"2016年10月","127042000","","125071000",""
"2016年11月","127055000","","125044000",""
"2016年12月","127044000","","125013000",""
"2017年1月","126955000","","125070000",""
"2017年2月","126933000","","124964000",""
"2017年3月","126906000","","124900000",""
"2017年4月","126920000","","124886000",""
"2017年5月","126893000","","124835000",""
"2017年6月","126943000","","124821000",""
"2017年7月","126972000","","124848000",""
"2017年8月","126949000","","124857000",""
"2017年9月","126881000","","124770000",""
"2017年10月","126919000","","124745000",""
"2017年11月","126934000","","124713000",""
"2017年12月","126922000","","124678000",""
"2018年1月","126825000","","124732000",""
"2018年2月","126851000","","124602000",""
"2018年3月","126743000","","124547000",""
"2018年4月","126760000","","124526000",""
"2018年5月","126732000","","124471000",""
"2018年6月","126783000","","124450000",""
"2018年7月","126811000","","124471000",""
"2018年8月","126785000","","124477000",""
"2018年9月","126714000","","124387000",""
"2018年10月","126749000","","124349000",""
"2018年11月","126765000","","124315000",""
"2018年12月","126753000","","124279000",""
"2019年1月","126641000","","124329000",""
"2019年2月","126642000","","124196000",""
"2019年3月","126587000","","124133000",""
"2019年4月","126600000","","124103000",""
"2019年5月","126534000","","124045000",""
"2019年6月","126612000","","124020000",""
"2019年7月","126633000","","124030000",""
"2019年8月","126593000","","124031000",""
"2019年9月","126513000","","123928000",""
"2019年10月","126555000","","123886000",""
"2019年11月","126553000","","123843000",""
"2019年12月","126540000","","123800000",""
"2020年1月","126387000","","123840000",""
"2020年2月","126409000","","123703000",""
"2020年3月","126370000","","123610000",""
"2020年4月","126342000","","123575000",""
"2020年5月","126310000","","123551000",""
"2020年6月","126279000","","123521000",""
"2020年7月","126261000","","123503000",""
"2020年8月","126239000","","123484000",""
"2020年9月","126187000","","123437000",""
"2020年10月","126146099","総務省統計局「国勢調査」による。","121541155","総務省統計局「国勢調査」による。"
"2020年11月","126106000","","123353000",""
"2020年12月","126088000","","123304000",""
"2021年1月","126068000","","123261000",""
"2021年2月","125990000","","123160000",""
"2021年3月","125917000","","123097000",""
"2021年4月","125855000","","123050000",""
"2021年5月","125777000","","122998000",""
"2021年6月","125722000","","122952000",""
"2021年7月","125682000","","122928000",""
"2021年8月","125633000","","122898000",""
"2021年9月","125559000","","122834000",""
"2021年10月","125502000","","122780000",""
"2021年11月","125443000","","122728000",""
"2021年12月","125380000","","122674000",""
"2022年1月","125309000","","122638000",""
"2022年2月","125194000","","122530000",""
"2022年3月","125103000","","122444000",""
"2022年4月","125071000","","122388000",""
"2022年5月","125072000","","122325000",""
"2022年6月","125104000","","122272000",""
"2022年7月","125125000","","122263000",""
"2022年8月","125082000","","122238000",""
"2022年9月","124971000","","122104000",""
"2022年10月","124947000","","122031000",""
"2022年11月","124913000","","121969000",""
"2022年12月","124861000","","121901000",""
"2023年1月","124752000","","121893000",""
"2023年2月","124631000","","121721000",""
"2023年3月","124567000","","121631000",""
"2023年4月","124554000","","121576000",""
"2023年5月","124477000","","121499000",""
"2023年6月","124511000","","121448000",""
"2023年7月","124517000","","121441000",""
"2023年8月","124439000","","121410000",""
"2023年9月","124348000","","121270000",""
"2023年10月","124352000","","121193000",""
"2023年11月","124342000","","121118000",""
"2023年12月","124299000","","121047000",""
"2024年1月","124143000","","121052000",""
"2024年2月","124105000","","120885000",""
"2024年3月","124003000","","120792000",""
"2024年4月","124002000","","120722000",""
"2024年5月","123941000","","120632000",""
"2024年6月","123979000","","120576000",""
"2024年7月","123975000","","120557000",""
"2024年8月","123887000","","120518000",""
"2024年9月","123779000","","120372000",""
"2024年10月","123802000","","120296000",""
"2024年11月","123784000","","120227000",""
"2024年12月","123744000","","120155000",""
"2025年1月","123552000","","120149000",""
"2025年2月","123441000","","119967000",""
"2025年3月","123420000","","119855000",""
"2025年4月","123397000","","119781000",""
"2025年5月","123342000","","119693000",""
"2025年6月","123371000","","119636000",""
"2025年7月","123367000","","119619000",""
"2025年8月","123268000","","119583000",""
"2025年9月","123170000","速報","",""
"2025年10月","123210000","速報","",""
"2025年11月","123190000","速報","",""
"2025年12月","123160000","速報","",""
"2026年1月","122950000","速報","",""
